second,timestamp,total,javascript,jit,images,layers,page,other
3,3.5017214583349414,55230464,7458275,1294336,0,0,37138973,9338880
4,4.001721458334941,79462400,7050416,1294336,0,0,61746000,9371648
5,5.00238249999893,79577088,12657104,1310720,0,0,52633136,12976128
6,6.0077446666691685,130695168,35155783,1785856,0,0,80318649,13434880
7,7.0130930000013905,169050112,44905155,2113536,0,0,108465469,13565952
8,8.023114125000575,212271104,56930046,2179072,0,0,142676226,10485760
9,9.028895125000417,263159808,72200167,3145728,0,0,177180697,10633216
10,10.035794083334622,302055424,88481339,3178496,0,0,196403653,13991936
11,11.042021749999549,343851008,108257898,3194880,0,0,218258838,14139392
12,12.052041416667635,386023424,123315566,3211264,0,0,245275282,14221312
13,13.0579000416692,428032000,132807363,3260416,0,0,277611837,14352384
14,14.064612500002113,784007168,140541442,3309568,0,0,628965886,11190272
15,15.07463483333413,963215360,140965156,3309568,0,0,807733980,11206656
16,16.080222541666444,516751360,158536265,3375104,0,0,343551415,11288576
17,17.08805504166594,555024384,180431735,3440640,0,0,356553865,14598144
18,18.097126250002475,601620480,201954449,3489792,0,0,381545327,14630912
19,19.101371250002558,642940928,214388087,3538944,0,0,410382985,14630912
20,20.111384541665757,621871104,214388087,3538944,0,0,389313161,14630912
21,21.12139866666621,618283008,214388087,3538944,0,0,385725065,14630912
22,22.125718458333722,618233856,214388087,3538944,0,0,385757833,14548992
23,23.131290708333836,618201088,214388087,3538944,0,0,385741449,14532608
24,24.13718987500033,1059749888,199496104,3522560,0,0,842280536,14450688
25,25.142827833333286,860291072,199594408,3522560,0,0,642723416,14450688
26,26.15284520833302,920748032,199594408,3522560,0,0,703180376,14450688
27,27.16286341666637,618594304,199594408,3522560,0,0,401026648,14450688
28,28.164413124999555,618594304,199594408,3522560,0,0,401026648,14450688
29,29.171261041668913,617775104,199594408,3522560,0,0,400404056,14254080
30,30.176908249999542,617512960,199594408,3522560,0,0,400141912,14254080
31,31.182403000002523,617512960,199594408,3522560,0,0,400141912,14254080
32,32.19241800000236,617529344,199594408,3522560,0,0,400158296,14254080
33,33.19857258333286,617529344,199594408,3522560,0,0,400158296,14254080
34,34.20859183333232,994443264,134906511,3522560,0,0,841743729,14270464
35,35.21000804166761,907935744,134906511,3522560,0,0,755236209,14270464
36,36.21546870833481,593543168,134906511,3522560,0,0,440843633,14270464
37,37.22548987499977,593559552,134906511,3522560,0,0,440860017,14270464
38,38.23153433333573,593559552,134906511,3522560,0,0,440860017,14270464
39,39.24154770833411,593543168,134906511,3522560,0,0,440843633,14270464
40,40.251562916666444,593559552,134906511,3522560,0,0,440860017,14270464
41,41.252575666669145,593559552,134906511,3522560,0,0,440860017,14270464
42,42.25987741666904,593559552,134906511,3522560,0,0,440860017,14270464
43,43.26100783333459,593444864,134906511,3522560,0,0,440745329,14270464
44,44.271024333334935,1019494400,134267022,3522560,0,0,867434354,14270464
45,45.27622604166754,911392768,134267022,3522560,0,0,759332722,14270464
46,46.276758666666865,593133568,134267022,3522560,0,0,441073522,14270464
47,47.28192345833304,593133568,134267022,3522560,0,0,441073522,14270464
48,48.29194216666656,593133568,134267022,3522560,0,0,441073522,14270464
49,49.30195637500219,593166336,134267022,3522560,0,0,441106290,14270464
50,50.30729437500122,593166336,134267022,3522560,0,0,441106290,14270464
51,51.3093948333335,593166336,134267022,3522560,0,0,441106290,14270464
52,52.31029958333238,593166336,134267022,3522560,0,0,441106290,14270464
53,53.31564508333395,593166336,134267022,3522560,0,0,441106290,14270464
54,54.31875041666717,970719232,134267027,3522560,0,0,818659181,14270464
55,55.325365166667325,912392192,134267027,3522560,0,0,760332141,14270464
56,56.33303974999944,593018880,134267027,3522560,0,0,440958829,14270464
57,57.336807708332344,593051648,134267027,3522560,0,0,440991597,14270464
58,58.34327891666908,593051648,134267027,3522560,0,0,440991597,14270464
59,59.34852366666746,593035264,134267027,3522560,0,0,440975213,14270464
